Book_Id,ISBN,ISBN13,My_Rating,Date_Read,Date_Added,Original_Purchase_Date,Spoiler,Bookshelves,Exclusive_Shelf,Private_Notes,Read_Count,My_Review
1155194,843957778,9780843957778,3,2/08/2019,28/07/2019,,,,read,,1,A good stand alone Mickey Spillane story. His mate Max Collins filled in the blanks left when Spillane died and released it after receiving all his notes and unfinished work on his death bed.<br/>
40384,345339304,9780345339300,3,24/07/2019,18/07/2019,,,,read,,1,"Probably not the best book to choose as my first \"John Carter\" book, but I found it at a book sale, bought it and decided to read it.<br/>Wow. An action packed story, with a very interesting writing style, and some loopy science-fantasy. I won't called it Science Fiction cause I don't think it belongs in that category.<br/>The plot concentrated more on John Carter's off-sider Vor Daj and involved a strange cloning technique that was more about growing sub-humans in vats than cloning.<br/>It was an interesting excursion into Burroughs's world and one I haven't undertaken since my teens (I read all of the Venus books).<br/>Well worth the journey."
11737453,1742610285,9781742610283,4,18/07/2019,16/07/2019,,,,read,,1,"A pretty good yarn. Non-stop action as would be expected from a Matthew Reilly, and especially a Scarecrow, book.<br/>The only problem being that even when a main character \"dies\", you sort of know that they don't.<br/>Libby Gant was different, there was an inkling she was still alive, but only cause you liked the character so much. That was different cause she didn't have a head.<br/>When a character's death is \"assumed\" then you know they are coming back.<br/><br/>It's left wide open for a sequel, which may still come, but as time goes on, looks less and less possible."
44773125,,,5,7/07/2019,16/05/2019,,,,read,,1,"AUTHOR REVIEW<br/>A great little collection of tiny tales, all aimed at the Sci-Fi genre under a collective theme of \"WORLDS\".<br/>I am a contributing author of five tales, but I found that my work was in wonderful company.<br/>This is an Australian produced collection with a wide ranging source of authors, from as far flung as the USA, UK, India and Pakistan.<br/>The stories themselves are just as disparate. Some are simple, some could become novels.<br/>There is humour, terror, darkness and light.<br/><br/>The biggest warning I would give though is, a collection of drabbles is a series of sprints not a marathon. Even five minutes of reading leaves your mind reeling at the world building, the ideas, the number of stories built in your brain and ended a hundred words.<br/>Take your time. Absorb and digest each story on its merits. Then move on. You will be much better for the experience."
144792,312981260,9780312981266,3,4/06/2019,25/05/2019,,,,read,,1,"An entertaining and engaging non stop thrill ride. A little more over the top than even the Scarecrow or Jack West books, but fun all the same."
32636,60596384,9780060596385,4,25/05/2019,16/05/2019,,,,read,,1,"Not a bad follow up to the first book.<br/>Some surprising deaths, more surprising creatures from the glorious mind of Clive Barker.<br/>Leaves the story wide open for the next three books. If they all ever come."
44323561,,,0,,16/05/2019,,,to-read,to-read,,0,
201644,843949783,9780843949780,3,16/05/2019,18/04/2019,,,,read,,1,Quite good. A strange book that seemed to reach its climax multiple times only to open up a new story with another twist.<br/>The ending is very left field.<br/><br/>Still rather enjoyable.
45861375,,,0,,16/05/2019,,,to-read,to-read,,0,
144789,312937660,9780312937669,4,18/04/2019,6/04/2019,,,,read,,1,"Set to a much faster pace than his two previous Shane Schofield novels.<br/>Also there's a scene in this one that is like a punch in the guts, so beware.<br/>Still thoroughly enjoyable and sets up the style of writing that Reilly takes into the Jack West jr. novels."
35031085,,,3,,6/04/2019,,,,read,,1,"After coming off back to back Matthew Reilly books, this was quite a difficult read.<br/>Shelley's english is obviously 18th century, so very long flowing sentences with expressive descriptions.<br/>The story was so different to all the interpretations we've seen over the years. Most focus on the creation of the creature, but Shelley glosses over that in only a few paragraphs.<br/>The story is really about the human side of the creature's dual personality and that of Frankenstein's slide into a virtual world of insanity and hatred toward the creature.<br/>Long, fairly enjoyable, but I was really wanting that last page to arrive."
144793,312983220,9780312983222,4,24/03/2019,13/03/2019,,,,read,,1,"I read this back to back with Ice Station, and honestly the first half lost me, but then it kicked into overdrive in the second half. The concept of that change was over the top, but crazy enough to drag me back into enjoying it thoroughly.<br/>Will give it a rest for a book or two, but Scarecrow is sitting on my shelf staring at me with intense eyes hidden behind silver tinted sunglasses."
144790,312971230,9780312971236,4,13/03/2019,1/03/2019,,,,read,,1,
12067,,,4,5/03/2019,1/03/2019,,,,read,,1,Great book. Can't wait to see the mini-series.
42779593,648421120,9780648421122,5,,1/03/2019,,,,read,,1,Great little collection of up and coming authors.
13596166,1781162646,9781781162644,4,,1/03/2019,,,,read,,1,"Not a bad little crime novel from King. I think Colorado Kid was better, but it points out how well he develops and writes characters rather than the actual crime aspect itself."
38532155,1501167197,9781501167195,4,,1/03/2019,,,,read,,1,
30257963,345816021,9780345816023,0,7/02/2019,25/06/2018,,,currently-reading,currently-reading,,2,
17611937,1409147193,9781409147190,5,7/02/2019,4/02/2019,,,,read,,1,"A massive departure from the Jack West books that I've read by Matthew Reilly. A taught detective thriller set in the 16th century and involving historical figures as far removed as Princess Elizabeth, Sultan Suleiman, Ivan the Terrible and Michelangelo.<br/>Overall a very good read, but not for the faint hearted. The blood and guts is taken to a new level and then there's the sex.<br/>Even the author says this is for mature readers only.<br/>My daughter (12) wants to read it, but I need to hide it from her. Too graphic by far."
29603980,,,4,,4/02/2019,,,,read,,1,Pretty good follow up to Five Greatest Warriors. Widens the scope of Jack West's adventures and sets the scene for the next three books.<br/>
42650706,,,0,,23/12/2018,,,to-read,to-read,,1,
26030683,316262854,9780316262859,5,16/01/2019,17/01/2019,,,,read,,1,
43073367,,9780648429203,5,,7/01/2019,,,,read,,1,"A very interesting and diverse set of stories all drawn together by location and the concept of including three items chosen by the public and suggested to the author.<br/>Being from Canberra (for over 30 years) and a friend of the author, I found the collection enjoyable, thought provoking and remembrance inducing. Well worth checking out and reading."
37829186,994592280,9780994592286,5,7/01/2019,7/01/2018,,,,read,,1,"What a great collection of stories all revolving around the central theme of \"Masks\". Everything from the classic (Edgar Allen Poe's \"Masque of the Red Death\") to modern masters (Clive Barker's \"Sex, Death and Starshine\") with a smattering of new and upcoming authors.<br/>Some have a surprises in store. Some have eloquent and beautiful prose. But all of them show that the dark fiction/horror genre is in good hands.<br/>Well done to Things in the Well publishing and all the contributing authors."
40427561,,,5,,19/12/2018,,,,read,,1,"Just as good at the \"Barefoot Investor\".<br/>Simple straight forward and forthright advice, perfectly tailored to bringing up financially adept and knowledgeable kids and unleashing them on the world.<br/>"
6324903,1416577572,9781416577577,5,7/12/2018,26/11/2018,,,,read,,1,
42117948,,,5,26/11/2018,4/11/2018,,,,read,,1,
617526,1405038160,9781405038164,4,4/11/2018,19/10/2018,,,,read,,1,"Wow. Fast paced. Action packed. Game of Thrones level character elimination.<br/>A great read and leaves the series open with a massive cliff hanger.<br/>Can't wait to start the next one in the series, but might pace myself for a bit to let the joy linger."
768878,64407330,9780064407335,4,,19/10/2018,,,,read,,1,"A very different, but incredibly familiar story from Clive Barker. Not as much horror and gore as a normal story of his, but heavy on the incredible in terms of creatures, people, locations. <br/>Story is left wide open as it's the first part of a multi-book series.<br/>Will be opening Abarat Part 2 very soon."
1737013,1405040955,9781405040952,4,19/10/2018,30/09/2018,,,,read,,1,"Great boys own adventure. Fast paced, plenty of non-stop action and a little bit of character development thrown in.<br/>Can't wait to start Six Sacred Stones."
40959308,,,4,30/09/2018,9/09/2018,,,,read,,1,Great book of stories with various depths of Lovecraftian/Cthulhu lore and influence from bunch of established and new antipodean authors.
34511,,,4,,9/09/2018,,,,read,,1,"100 pages into this book and it seemed very familiar. I looked up my old \"books read\" listing and found I'd read it in 2008.<br/>Second time through it was a bit better.<br/>Very Pratchett. With lashing of new age musings on the role of women in the military and many attacks on stupid Gods.<br/>A cynic would say it was a total dig against the wars in the middle east, or just wars in general.<br/>Very good, a little smaltzy and slow towards the end, but still pretty good."
10574,843955848,9780843955842,3,7/08/2018,29/07/2018,,,,read,,1,"An interesting little tale that basically asks more questions than it solves. I think this was a short story that King began writing in his inimitable style of letting the characters lead the plot and in the end it was of novella length with an open ending that probably surprised King himself.<br/>In the afterword he even states that some will love this and some will hate it.<br/>Personally I found it to be a well written story within a story, intertwining both the tale of the Colorado Kid with the coming of age story of the protagonist on the outer story.<br/>A quick read and well worth the effort for King officianados. "
39988227,,,4,,29/07/2018,,,,read,,1,"A really quite brilliant retelling of five of the world's favorite fairy tales.<br/>Paul Kane takes familiar characters and plots and turns them on their head, bringing them all into the modern world and re-framing them as everything from serial killer investigations through to zombie apocalypse tales.<br/>Well worth the read and gives one a thirst to check out Kane's other stories and novels of longer versions of similar re-tellings."
16304,425200450,9780425200452,4,,8/07/2018,,,,read,,2,Interesting reading the book again after watching the latest version of the film.<br/>The book is more succinct and includes the evidence laid out to the accused rather than the dramatic scene shown in the movie.<br/>Also a lot more background to how Poirot connects all the dots and pieces the solution together.
37666398,,,5,,25/06/2018,,,,read,,1,
23492589,1501100076,9781501100079,4,,25/06/2018,,,,read,,1,"A pretty good middle book in the Bill Hodges trilogy. A little disconcerting that it took 150 pages before the named character actually appeared.<br/>Not overtly horror, more a crime novel, but with enough gory bits to keep King fans happy.<br/>Also, seems to point to a interesting point about King's own life. What unpublished works is he hiding that may never see the light of day while he lives?"
397872,330376195,9780330376198,4,,18/05/2018,,,,read,,1,
164312,786711884,9780786711888,4,,18/05/2018,,,,read,,1,
29999,752865331,9780752865331,4,,15/04/2018,,,,read,,1,
37118412,,,5,15/04/2018,18/02/2018,,,,read,,2,Really very good. A brilliant collection of authors with in-depth knowledge of both Holmes and Wells. Many stories mesh both worlds so seamlessly that the reader would think they were never separate universes.<br/>Will be starting Volume 2 soon.
33560495,,9781370073351,4,,8/03/2018,,,,read,,1,Great book of short stories all centered around the theme of humans as monsters. Some of the stories were told in a nice genial approach with twist endings. Many were more in your face. Overall a nicely crafted anthology.
1053541,747241201,9780747241201,4,,18/02/2018,,,,read,,1,"A really cool little boys' own adventure, involving a teenager from London, mixing it with Jack the Ripper and outlaws in the old west.<br/>Laymon never lets you settle on characters and is very much like George R. R. Martin in his penchance for killing of likeable characters.<br/>Probably not one of his best but a damn fun read."
16429,553804790,9780553804799,5,,29/01/2018,,,,read,,1,"A very tight and taut thriller from Mr. Koontz.<br/>I admit that I've been putting off reading him again after the awful \"My Heart Belongs to You\", but this has reignited my appreciation of his fiction.<br/>Considering it took me about five days to read this 400 page book, it must be good. It was a bugger though as I'd planned for it to take the entire eight days of my holiday and I needed to find another book."
36380252,994592264,9780994592262,5,,7/01/2018,,,,read,,1,
36040390,,,4,22/11/2017,20/09/2017,,,,read,,1,
36344486,154985786X,9781549857867,5,,1/11/2017,,,,read,,1,
23512999,1501111671,9781501111679,4,,1/11/2017,,,,read,,1,"Damn good collection of short stories, including re-issues of some of King's electronic or rare releases Ur, Mile 81 and Blockade Billy."
3419073,99260204,9780099260202,3,,26/09/2017,,,,read,,1,
35890119,,,0,,20/09/2017,,,currently-reading,currently-reading,,1,
108064,747401659,9780747401650,5,,20/09/2017,,,,read,,1,
32626,425165582,9780425165584,5,,20/09/2017,,,,read,,1,
29084884,1326511432,9781326511432,5,20/09/2017,14/02/2016,,,,read,,2,
1776659,450538109,9780450538100,4,,28/03/2017,,,,read,,1,Really good insight into the mind and life of James Herbert. Well worth the read.
397867,333761189,9780330000000,4,,28/03/2017,,,,read,,1,"BOOK REVIEW – The Rats (1974) by James Herbert – 4.5/5<br/><< WARNING – CONTAINS SPOILERS >><br/>I recently finished reading “By Horror Haunted” a series of essays about and interviews with James Herbert. It was collected and edited in 1990 while Herbert was still writing Creed. Herbert has always been my favourite author and the book was fascinating as it gave a deep insight into how Herbert worked, his motivations and some of the struggles he had to deal with during his career.<br/>So, it made me want to revisit some of Herbert’s early works.<br/>His first novel was “The Rats” which he wrote while still working full time in advertising. The other freaky piece of information was that Herbert wrote long hand on paper and only made cursory changes in the rewrite phase. I was blown away.<br/><< PLOT >><br/>In the poor, depressed parts of East London, several suffer attacks from a new species of black rat. Larger, more ferocious and intelligent than the common brown rat, and definitely not afraid of humans. They also carry a nasty disease which proves fatal within 24 hours of being bitten.<br/>A local teacher Harris, is introduced to the plague by one of his students being bitten. Having grown up in the area, he visits the place where his student was attacked and sees first hand a pack of rats. He brings in the Police and is co-opted to help a local exterminator to find the rats’ lair. Discovering a possible location, Harris goes to bring help and the exterminator seeks them out, but is killed.<br/>While the authorities contemplate what to do, the attacks become more brazen, including an entire tube train and Harris’ school.<br/>The Government strike back using a virus which seems to do the job. All is quiet for several weeks until an outbreak in a cinema and the London zoo. The virus has had one major advantage, the rats’ disease has been reduced to non-fatal.<br/>The authorities’ next move is to use ultra-sonic frequencies to attract the rats to a large park and douse them in gas.<br/>Harris, however, follows the disgraced Health Minister Foskins to the possible source of the rats. An abandoned house owned by a zoologist who had studied the rodents in the tropics. Harris finds Foskin’s body and is attacked by a few larger more brutal rats. Finishing them off, he discovers the white hairless dual headed king rat. He kills it and leaves.<br/>The epilogue tells us that one pregnant female lived. She gives birth to a large litter and one hairless white rat with a growing second head.<br/><< END PLOT >><br/>This novel was ground breaking when it came out. It was released before Stephen King’s Carrie and the first paperback version sold out in three weeks. I’d liken its impact on the horror genre to Black Sabbath’s impact on rock music. It created a new sub-genre of horror or a redefinition of what horror was all about.<br/>It was hailed down by the literati as filth and not worthy of consideration as a proper novel. Critics were harsh with their contempt over the supposed gratuitous violence, gore and sex. Herbert answered criticism of his work, in this way, by saying that he only included the “nasty” elements where they were required by the story. The book is about giant rats attacking people, so it ain’t gonna be nice is it?<br/>What sets this book apart from a lot of other works is the style in which the story is presented. It starts out with a series of vignettes focusing on individual characters who then meet horrible deaths at the teeth of the rats.<br/>This is something that Herbert carries on through many of his other novels. I love it. His novels almost become a collection of short stories linked by a common theme and interspersed with the backbone of the main plot. What is more interesting is that during his entire career, Herbert only published six short stories.<br/>The Rats (and probably Herbert’s follow up novels The Fog and The Survivor) can also lay claim to a creating a new breed of horror writer. The likes of Guy N. Smith, Shaun Hutson and Richard Laymon can all tip their hat to Herbert for breaking new ground for them, and we can be even more thankful for it.<br/>Overall, the plot is relatively simple, but the vignettes involving the rat attacks add flesh to the skeleton of Harris’ travails against the rats.<br/>There are some massive holes in the plot that can be glossed over through the pure enjoyment of the story and the writing.<br/>I still can’t understand why the Department of Health and the Police kept Harris around for. The flimsy reasoning was that he knew the area and he was the only person to have survived an encounter with the rats.<br/>Harris himself is an interesting protagonist and it is through his eyes that we see what Herbert’s reasoning was for writing this book. Having grown up in the East End himself, Herbert used his portrayal of Harris as a way of describing his criticism of the way the East of London had been neglected by the Government for so long. By focusing on a fictitious plague of rats that could breed undetected and cause so much damage, he was bringing the attention of all his readers to the plight of those living in the East End.<br/>His description of how the area was finally redeveloped was a way of showing what could (and should) be achieved in his old stamping ground.<br/>So, basically, the book is political protest written as abject horror.<br/>The book was filmed as “Deadly Eyes” in 1982, but Herbert denounces it as a piece of crap. It gets 4.4 on IMDB with the logline reading “Contaminated grain breeds overgrown, killer rats in this Golden Harvest production. Dachshunds were dressed up as rats for the special effects.”<br/>I’m not sure if it’s selling the Dachshunds as the best part of the movie or worst.<br/>The Rats is only 181 and is well worth the read. Herbert wrote two sequels “Lair” in 1979 and “Domain” in 1984. My mum bought them for me in a boxed set back in the late 80’s and I plan to finish off the other two very soon.<br/>But first I want to read my favourite Herbert book again. The Fog."
33406133,,,4,28/03/2017,18/12/2016,,,,read,,1,Brilliant. Great stories from some up and coming authors.
29011025,730324214,9780730000000,5,26/01/2017,28/01/2017,,,,read,,1,Brilliant and simple investment strategy. Rereading it again and will begin putting his steps in place.
10483475,,,4,27/01/2017,28/01/2017,,,,read,,1,"Pretty good. Nice twists in the story. Read a lot like a detective story rather than spy story, a la Deaver's other works."
31573905,992321115,9780990000000,0,,21/09/2016,,,to-read,to-read,,0,
108051,006103018X,9780060000000,3,,12/09/2016,,,,read,,1,
